study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Zhao2009		SD5	8.0	SD5	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD5	0.0	hr		0.0						percent	percent
Zhao2009		SD5	8.0	SD5	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD5	0.48137535816619	hr		10.6194690265487						percent	percent
Zhao2009		SD5	8.0	SD5	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD5	0.962750716332378	hr		16.9911504424779						percent	percent
Zhao2009		SD5	8.0	SD5	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD5	1.44412607449857	hr		22.5663716814159						percent	percent
Zhao2009		SD5	8.0	SD5	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD5	1.92550143266476	hr		19.9115044247788						percent	percent
Zhao2009		SD5	8.0	SD5	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD5	2.4756446991404	hr		18.3185840707965						percent	percent
Zhao2009		SD5	8.0	SD5	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD5	2.95702005730659	hr		15.929203539823						percent	percent
Zhao2009		SD5	8.0	SD5	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD5	4.0	hr		18.0530973451327						percent	percent
Zhao2009		SD5	8.0	SD5	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD5	6.0	hr		10.6194690265487						percent	percent
Zhao2009		SD5	8.0	SD5	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD5	8.0	hr		10.353982300885						percent	percent
Zhao2009		SD5	8.0	SD5	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD5	12.0	hr		9.55752212389381						percent	percent
Zhao2009		SD5	8.0	SD5	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD5	14.9914040114613	hr		10.0884955752212						percent	percent
Zhao2009		SD5	8.0	SD5	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD5	24.0	hr		-0.26548672566372						percent	percent
