study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Zhao2009		SD10	8.0	SD10	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD10	0.0	hr		0.530973451327426						percent	percent
Zhao2009		SD10	8.0	SD10	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD10	0.48137535816619	hr		30.0						percent	percent
Zhao2009		SD10	8.0	SD10	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD10	1.03151862464183	hr		33.1858407079646						percent	percent
Zhao2009		SD10	8.0	SD10	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD10	1.44412607449857	hr		35.8407079646018						percent	percent
Zhao2009		SD10	8.0	SD10	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD10	2.0	hr		34.2477876106195						percent	percent
Zhao2009		SD10	8.0	SD10	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD10	2.4756446991404	hr		37.1681415929203						percent	percent
Zhao2009		SD10	8.0	SD10	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD10	3.02578796561605	hr		36.9026548672566						percent	percent
Zhao2009		SD10	8.0	SD10	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD10	4.0	hr		32.9203539823009						percent	percent
Zhao2009		SD10	8.0	SD10	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD10	6.0	hr		24.4247787610619						percent	percent
Zhao2009		SD10	8.0	SD10	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD10	8.0	hr		19.1150442477876						percent	percent
Zhao2009		SD10	8.0	SD10	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD10	12.0	hr		12.4778761061947						percent	percent
Zhao2009		SD10	8.0	SD10	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD10	14.9226361031519	hr		9.82300884955752						percent	percent
Zhao2009		SD10	8.0	SD10	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD10	24.0	hr		-2.65486725663717						percent	percent
