study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Zhao2009		SD40	8.0	SD40	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD40	0.0	hr		0.265486725663706						percent	percent
Zhao2009		SD40	8.0	SD40	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD40	0.48137535816619	hr		47.787610619469						percent	percent
Zhao2009		SD40	8.0	SD40	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD40	1.03151862464183	hr		48.0530973451327						percent	percent
Zhao2009		SD40	8.0	SD40	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD40	1.51289398280802	hr		42.7433628318584						percent	percent
Zhao2009		SD40	8.0	SD40	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD40	2.0	hr		41.6814159292035						percent	percent
Zhao2009		SD40	8.0	SD40	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD40	2.4756446991404	hr		37.4336283185841						percent	percent
Zhao2009		SD40	8.0	SD40	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD40	2.95702005730659	hr		32.3893805309734						percent	percent
Zhao2009		SD40	8.0	SD40	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD40	4.0	hr		30.0						percent	percent
Zhao2009		SD40	8.0	SD40	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD40	6.0	hr		19.1150442477876						percent	percent
Zhao2009		SD40	8.0	SD40	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD40	8.0	hr		16.9911504424779						percent	percent
Zhao2009		SD40	8.0	SD40	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD40	12.0	hr		15.1327433628319						percent	percent
Zhao2009		SD40	8.0	SD40	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD40	14.9914040114613	hr		12.4778761061947						percent	percent
Zhao2009		SD40	8.0	SD40	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_SD40	24.0	hr		10.353982300885						percent	percent
