study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	timeraw	comments	mean_unit	value_unit
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	0.0	days		0.0						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	0.016479204812974	days		8.26575987444413						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	0.029732321911239	days		6.72421309617226						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	0.056936088586625	days		7.77051181445634						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	0.070189205684889	days		6.22896503618448						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	0.097131397680704	days		5.72674165140813						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	0.124073589676519	days		5.22451826663178						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	0.164181707210742	days		2.66457406923008						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	0.245269857877757	days		2.70642601796145						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	0.327229924143343	days		7.91001831022756						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	0.488883076118232	days		4.89667800156943						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	0.624814717935304	days		9.6119975586363						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	1.00209259743657	days		3.09704420612083						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	4.0	days								percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	5.0	days		-5.67741935483873						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	5.01342281879195	days		8.25806451612901						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	5.04026845637584	days		0.516129032258064						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	5.05369127516779	days		-3.09677419354841						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	5.08053691275168	days		-2.06451612903228						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	5.10738255033557	days		-3.09677419354841						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	5.12080536912752	days		-5.16129032258067						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	5.16107382550336	days		-5.16129032258067						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	5.24161073825503	days		-7.74193548387099						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	5.33557046979866	days		-1.03225806451616						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	5.49664429530201	days		-2.58064516129035						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	5.61744966442953	days		0.0						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	5.99328859060403	days		-1.03225806451616						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	6.50335570469799	days		-3.09677419354841						percent	percent
Zhao2009		MDP	8.0	MDP	factor Xa inhibition		plasma	Spectrophotometry	factor Xa inhibition_MDP	7.0	days		-3.61290322580648						percent	percent
