study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments	raw
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	0.0	days	NA	0.984313725490197	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	0.026845637583893	days	NA	1.07450980392157	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	0.046979865771812	days	NA	1.16078431372549	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	0.053691275167786	days	NA	1.23921568627451	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	0.073825503355706	days	NA	1.27450980392157	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	0.10738255033557	days	NA	1.48627450980392	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	0.12751677852349	days	NA	1.5921568627451	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	0.167785234899329	days	NA	1.50980392156863	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	0.248322147651007	days	NA	1.4078431372549	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	0.335570469798658	days	NA	1.36862745098039	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	0.496644295302014	days	NA	1.09411764705882	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	0.630872483221476	days	NA	1.07843137254902	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	1.0	days	NA	1.0156862745098	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	4.0	days	NA	NA	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.0	days	NA	0.98828125	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.01337792642141	days	NA	0.96875	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.03344481605351	days	NA	1.0	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.04013377926421	days	NA	1.0546875	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.05351170568562	days	NA	1.20703125	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.06020066889632	days	NA	1.21875	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.08026755852843	days	NA	1.54296875	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.10702341137124	days	NA	1.49609375	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.12709030100335	days	NA	1.54296875	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.17391304347826	days	NA	1.55078125	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.25418060200669	days	NA	1.3203125	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.33444816053512	days	NA	1.1015625	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.50167224080268	days	NA	1.0546875	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	7.62876254180602	days	NA	1.03125	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	OD5	7.0	OD5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_OD5	8.00334448160535	days	NA	1.07421875	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.0	days	NA	1.01960784313725	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.067114093959732	days	NA	1.4156862745098	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.080536912751678	days	NA	1.51372549019608	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.120805369127517	days	NA	1.50588235294118	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.167785234899329	days	NA	1.47843137254902	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.25503355704698	days	NA	1.25882352941176	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.335570469798658	days	NA	1.15294117647059	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.375838926174497	days	NA	1.32549019607843	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.416107382550336	days	NA	1.59607843137255	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.496644295302014	days	NA	1.47058823529412	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.583892617449664	days	NA	1.33725490196078	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.664429530201342	days	NA	1.2	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.684563758389262	days	NA	1.2	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.711409395973154	days	NA	1.47450980392157	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.731543624161074	days	NA	1.53725490196078	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.758389261744966	days	NA	1.51764705882353	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.771812080536913	days	NA	1.56078431372549	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.791946308724833	days	NA	1.52941176470588	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.832214765100671	days	NA	1.47058823529412	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	0.912751677852349	days	NA	1.36078431372549	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	1.0	days	NA	1.21176470588235	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	4.0	days	NA	NA	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	7.0	days	NA	1.51953125	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	7.02006688963211	days	NA	1.41015625	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	7.04013377926421	days	NA	1.48828125	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	7.06020066889632	days	NA	1.61328125	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	7.08026755852843	days	NA	1.71484375	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	7.10702341137124	days	NA	1.77734375	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	7.12709030100335	days	NA	1.7578125	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	7.17391304347826	days	NA	1.71875	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	7.24749163879599	days	NA	1.484375	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	7.33444816053512	days	NA	1.359375	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	7.49498327759197	days	NA	1.15625	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	7.62207357859532	days	NA	1.0390625	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	7.99665551839465	days	NA	1.05078125	NA	NA	NA	dimensionless	NA	NA
Kubitza2005	NA	TID5	7.0	TID5	HepTest (change relative)	NA	plasma	coagulation assay	HepTest (change relative)_TID5	9.0	days	NA	1.10546875	NA	NA	NA	dimensionless	NA	NA
