study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Frost2014	all	14	NA	species	14	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Frost2014	all	14	NA	healthy	14	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Frost2014	all	14	NA	sex	11	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Frost2014	all	14	NA	sex	3	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Frost2014	all	14	NA	ethnicity	12	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Frost2014	all	14	NA	ethnicity	2	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Frost2014	all	14	NA	age	14	NA	NA	29.0	NA	9.1	NA	20.0	43.0	yr	NA
Frost2014	all	14	NA	height	14	NA	NA	181.0	NA	7.4	NA	170.0	195.0	cm	NA
Frost2014	all	14	NA	weight	14	NA	NA	75.9	NA	10.2	NA	62.9	94.4	kg	NA
Frost2014	all	14	NA	bmi	14	NA	NA	23.1	NA	2.5	NA	19.4	28.1	kg/m^2	NA
