study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	cv	unit	comments
Kreutz2017	NA	all	24.0	riv	ETP ratio	NA	plasma	coagulation assay	riv_ETP ratio	144.0	hr	NA	0.837060702875399	0.955271565495208	0.118210862619809	0.0241296912893978	NA	dimensionless	geometric mean
Kreutz2017	NA	all	24.0	riv	ETP ratio	NA	plasma	coagulation assay	riv_ETP ratio	145.0	hr	NA	0.619808306709265	0.396166134185304	0.223642172523961	0.0456507673042657	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	ETP ratio	NA	plasma	coagulation assay	riv_ETP ratio	146.0	hr	NA	0.466453674121406	0.335463258785943	0.130990415335463	0.0267383065639271	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	ETP ratio	NA	plasma	coagulation assay	riv_ETP ratio	147.0	hr	NA	0.460063897763578	0.357827476038339	0.102236421725239	0.0208689221962357	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	ETP ratio	NA	plasma	coagulation assay	riv_ETP ratio	148.0	hr	NA	0.434504792332268	0.319488817891374	0.115015974440894	0.0234775374707652	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	ETP ratio	NA	plasma	coagulation assay	riv_ETP ratio	150.0	hr	NA	0.485623003194888	0.370607028753994	0.115015974440894	0.0234775374707652	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	ETP ratio	NA	plasma	coagulation assay	riv_ETP ratio	156.0	hr	NA	0.641	NA	0.106406	0.0217200337975489	16.6	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	ETP ratio	NA	plasma	coagulation assay	riv_ETP ratio	162.0	hr	NA	0.827476038338658	0.97444089456869	0.146964856230032	0.029999075657089	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	ETP ratio	NA	plasma	coagulation assay	riv_ETP ratio	168.0	hr	NA	0.762	NA	0.113538	0.023175847201343	14.9	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	ETP ratio	NA	plasma	coagulation assay	riv_ETP ratio	180.0	hr	NA	0.867	NA	0.092769	0.0189363928290211	10.7	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	ETP ratio	NA	plasma	coagulation assay	riv_ETP ratio	192.0	hr	NA	0.904153354632588	NA	0.121156549520767	0.0247309771101767	13.4	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	ETP ratio	NA	plasma	coagulation assay	riv_ETP ratio	204.0	hr	NA	0.92332268370607	1.01597444089457	0.0926517571884999	0.018912460740339	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	144.0	hr	NA	0.78594249201278	0.92332268370607	0.13738019169329	0.0280426142011917	NA	dimensionless	geometric mean
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	145.0	hr	NA	0.792332268370607	0.929712460063898	0.137380191693291	0.0280426142011919	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	146.0	hr	NA	0.68370607028754	0.801916932907348	0.118210862619808	0.0241296912893976	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	147.0	hr	NA	0.702875399361022	0.830670926517572	0.12779552715655	0.0260861527452949	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	148.0	hr	NA	0.712460063897764	0.830670926517572	0.118210862619808	0.0241296912893976	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	150.0	hr	NA	0.718849840255591	0.827476038338658	0.108626198083067	0.0221732298335005	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	156.0	hr	NA	0.77	NA	NA	0.0	20.1	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	157.0	hr	NA	0.849840255591054	0.990415335463259	0.140575079872205	0.0286947680198243	NA	dimensionless	geometric mean
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	158.0	hr	NA	0.808306709265176	0.952076677316294	0.143769968051118	0.0293469218384566	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	159.0	hr	NA	0.741214057507987	0.865814696485623	0.124600638977636	0.0254339989266625	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	160.0	hr	NA	0.70926517571885	0.846645367412141	0.137380191693291	0.0280426142011919	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	162.0	hr	NA	0.728434504792332	0.865814696485623	0.137380191693291	0.0280426142011919	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	168.0	hr	NA	0.693	NA	0.105336	0.0215016209621507	15.2	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	174.0	hr	NA	0.900958466453674	1.00319488817891	0.102236421725236	0.0208689221962351	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	180.0	hr	NA	0.903	NA	0.143577	0.029307532399965	15.9	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	192.0	hr	NA	0.948	NA	0.0870264	0.0177641895126122	9.18	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	204.0	hr	NA	1.00319488817891	1.09584664536741	0.0926517571885002	0.0189124607403391	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	ETP ratio	NA	plasma	coagulation assay	api_ETP ratio	216.0	hr	NA	0.968051118210863	1.03833865814697	0.070287539936107	0.0143473840099131	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGP ratio	NA	plasma	coagulation assay	riv_TGP ratio	144.0	hr	NA	0.4983922829582	0.627009646302251	0.128617363344051	0.0262539093545892	NA	dimensionless	thrombin generation peak
Kreutz2017	NA	all	24.0	riv	TGP ratio	NA	plasma	coagulation assay	riv_TGP ratio	145.0	hr	NA	0.273311897106109	0.45016077170418	0.176848874598071	0.0360991253625603	NA	dimensionless	geometric mean
Kreutz2017	NA	all	24.0	riv	TGP ratio	NA	plasma	coagulation assay	riv_TGP ratio	146.0	hr	NA	0.144694533762058	0.102893890675241	0.041800643086817	0.00853252054024157	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGP ratio	NA	plasma	coagulation assay	riv_TGP ratio	147.0	hr	NA	0.135048231511254	0.112540192926045	0.022508038585209	0.00459443413705312	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGP ratio	NA	plasma	coagulation assay	riv_TGP ratio	148.0	hr	NA	0.128617363344052	0.102893890675241	0.025723472668811	0.005250781870918	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGP ratio	NA	plasma	coagulation assay	riv_TGP ratio	150.0	hr	NA	0.154340836012862	0.186495176848875	0.032154340836013	0.00656347733864735	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGP ratio	NA	plasma	coagulation assay	riv_TGP ratio	156.0	hr	NA	0.252	NA	0.048888	0.00997922121209867	19.4	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGP ratio	NA	plasma	coagulation assay	riv_TGP ratio	162.0	hr	NA	0.418006430868167	0.4983922829582	0.080385852090033	0.0164086933466185	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGP ratio	NA	plasma	coagulation assay	riv_TGP ratio	168.0	hr	NA	0.41	NA	0.10742	0.0219270156808141	26.2	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGP ratio	NA	plasma	coagulation assay	riv_TGP ratio	180.0	hr	NA	0.619	NA	0.155369	0.03171456432054	25.1	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGP ratio	NA	plasma	coagulation assay	riv_TGP ratio	192.0	hr	NA	0.76	NA	0.1824	0.0372322440903043	24.0	dimensionless	NA
Kreutz2017	NA	all	24.0	riv	TGP ratio	NA	plasma	coagulation assay	riv_TGP ratio	204.0	hr	NA	0.942122186495176	1.10932475884244	0.167202572347264	0.0341300821609655	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	144.0	hr	NA	0.466237942122187	0.581993569131833	0.115755627009646	0.0236285184191303	NA	dimensionless	geometric mean
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	145.0	hr	NA	0.395498392282958	0.527331189710611	0.131832797427653	0.026910257088454	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	146.0	hr	NA	0.260450160771704	0.321543408360129	0.061093247588425	0.01247060694343	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	147.0	hr	NA	0.244372990353698	0.292604501607717	0.048231511254019	0.00984521600797092	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	148.0	hr	NA	0.257234726688103	0.299035369774919	0.041800643086816	0.00853252054024137	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	150.0	hr	NA	0.292604501607717	0.35048231511254	0.057877813504823	0.0118142592095651	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	156.0	hr	NA	1.46	NA	0.15768	0.032186295220171	10.8	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	157.0	hr	NA	0.469453376205788	0.610932475884245	0.141479099678457	0.0288793002900483	NA	dimensionless	geometric mean
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	158.0	hr	NA	0.356913183279743	0.495176848874598	0.138263665594855	0.0282229525561834	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	159.0	hr	NA	0.289389067524116	0.356913183279743	0.067524115755627	0.0137833024111594	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	160.0	hr	NA	0.270096463022508	0.32475884244373	0.054662379421222	0.0111579114757005	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	162.0	hr	NA	0.286173633440514	0.337620578778135	0.051446945337621	0.0105015637418358	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	168.0	hr	NA	1.59	NA	0.22101	0.0451134773377092	13.9	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	174.0	hr	NA	0.655948553054663	0.794212218649518	0.138263665594855	0.0282229525561834	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	180.0	hr	NA	1.18	NA	0.12154	0.024809248611489	10.3	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	192.0	hr	NA	1.09	NA	0.091887	0.0187563553329265	8.43	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	204.0	hr	NA	0.996784565916398	1.17363344051447	0.176848874598072	0.0360991253625605	NA	dimensionless	NA
Kreutz2017	NA	all	24.0	api	TGP ratio	NA	plasma	coagulation assay	api_TGP ratio	216.0	hr	NA	1.02893890675241	1.16398713826367	0.13504823151126	0.0275666048223199	NA	dimensionless	NA
