study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	0.78787679248615	hr		1.09807544380027					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	1.02521677446775	hr		1.1423587935457					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	1.28073079259989	hr		1.12756335621051					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	1.51634675534192	hr		1.15215457508613					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	1.7736925439161	hr		1.15828202680012					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	1.79714638898783	hr		1.15951039050832					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	2.0	hr		1.20010386018683					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	2.33669257684008	hr		1.18899351397623					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	2.52432333741391	hr		1.19882042364181					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	2.78037611155841	hr		1.19017877720344					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	3.06311526684885	hr		1.21968823985418					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	3.57478981032795	hr		1.19748191425997					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	4.0	hr		1.18882111205227					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	6.0	hr		1.11969033501645					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	8.0	hr		1.11948441049616					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	12.0	hr		1.04892173970303					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	15.001553413169	hr		1.0498484000443					dimensionless	dimensionless
Kubitza2005a		T5	6.0	T5	aPTT (change relative)		plasma	NR	aPTT (change relative)_T5	24.0	hr		1.00830671978402					dimensionless	dimensionless
