run	success	duration	cost	GU__Ka_dis_riv	GU__RIVABS_k	LI__RIV2RX_Vmax	LI__RXEX_BI_k	KI__RIVEX_k	message	x	x0
91	True	13.485392093658447	685.40387688189	0.15960999342060214	0.052027850297051675	0.06401213063939644	9.99999999999998e-05	0.16139673072970187	Both `ftol` and `xtol` termination conditions are satisfied.	"[1.59609993e-01 5.20278503e-02 6.40121306e-02 1.00000000e-04
 1.61396731e-01]"	"[2.59547873e-01 2.69414587e-02 5.98903497e-02 3.19621447e-06
 5.58875289e-02]"
29	True	15.454499959945679	685.4039009120104	0.15965744039034002	0.052013565777155886	0.06402474459947466	9.999999999999938e-05	0.16142635992327442	`xtol` termination condition is satisfied.	"[1.59657440e-01 5.20135658e-02 6.40247446e-02 1.00000000e-04
 1.61426360e-01]"	"[1.17919530e-02 2.83380320e-01 7.83924905e+00 3.17330094e-05
 7.28710921e-01]"
45	True	17.000092029571533	685.4039384523421	0.15965067181978995	0.05201670557138035	0.06402558957561787	9.99999999999998e-05	0.16143549628068782	`xtol` termination condition is satisfied.	"[1.59650672e-01 5.20167056e-02 6.40255896e-02 1.00000000e-04
 1.61435496e-01]"	"[1.30615896e-01 1.72965242e-01 1.72498937e+00 2.10414126e-05
 8.01574286e-02]"
28	True	15.846640348434448	685.4039754089843	0.15964067566456952	0.05202121207190241	0.06402216053467139	9.99999999999998e-05	0.16142524684738976	`ftol` termination condition is satisfied.	"[1.59640676e-01 5.20212121e-02 6.40221605e-02 1.00000000e-04
 1.61425247e-01]"	"[3.78128449e+00 2.37653115e+00 1.36406513e+01 9.76391746e-05
 2.79509662e-03]"
89	True	11.426275730133057	685.4040769945524	0.15941288282069807	0.052100053227449816	0.06397973985764498	9.999999879466522e-05	0.16128901837461876	`xtol` termination condition is satisfied.	"[1.59412883e-01 5.21000532e-02 6.39797399e-02 9.99999988e-05
 1.61289018e-01]"	"[4.23268134e-02 2.06612537e-03 7.15334188e+01 1.33490212e-06
 7.92527754e-04]"
12	True	12.817266702651978	685.4042823070351	0.15947952077975164	0.05208538309148265	0.06399300083552803	9.999999990330697e-05	0.16134045957698295	`ftol` termination condition is satisfied.	"[1.59479521e-01 5.20853831e-02 6.39930008e-02 9.99999999e-05
 1.61340460e-01]"	"[1.75096222e+00 8.54355696e-02 2.34896946e+00 7.54963570e-06
 6.07031415e-01]"
85	True	14.196120262145996	685.4045037943971	0.1596273497779126	0.05203274886898429	0.06401693299067324	9.999999999485983e-05	0.1614138439928756	Both `ftol` and `xtol` termination conditions are satisfied.	"[1.59627350e-01 5.20327489e-02 6.40169330e-02 1.00000000e-04
 1.61413844e-01]"	"[1.32524848e-02 1.30668655e-01 2.17024013e-03 1.19486729e-05
 1.53278169e-03]"
86	True	12.245645999908447	685.4046014645322	0.1596253723537002	0.05203524599868531	0.06401676500337264	9.99999999999998e-05	0.1614145325077046	`xtol` termination condition is satisfied.	"[1.59625372e-01 5.20352460e-02 6.40167650e-02 1.00000000e-04
 1.61414533e-01]"	"[1.44879432e-01 2.98096199e-02 4.29038106e-03 5.62910442e-05
 2.61025386e-02]"
11	True	14.564818382263184	685.4046621586499	0.15964012351646342	0.052031136213712276	0.06402137606375383	9.999999999999509e-05	0.16142419961724958	`xtol` termination condition is satisfied.	"[1.59640124e-01 5.20311362e-02 6.40213761e-02 1.00000000e-04
 1.61424200e-01]"	"[4.60623358e-03 2.01111061e+00 1.66266084e-03 8.07402875e-05
 1.01275709e-04]"
0	True	14.913634538650513	685.4046979029746	0.1596489833264475	0.052028199630849856	0.0640242987355404	9.99999999999998e-05	0.16143528191700263	`xtol` termination condition is satisfied.	"[1.59648983e-01 5.20281996e-02 6.40242987e-02 1.00000000e-04
 1.61435282e-01]"	"[1.35139614e-03 6.74338493e-02 7.81725990e+01 3.65950131e-06
 3.21698798e-01]"
48	True	16.251800298690796	685.4048036326501	0.159651970591729	0.05202861353861533	0.06402603887647132	9.99999999999998e-05	0.16143668387580962	`xtol` termination condition is satisfied.	"[1.59651971e-01 5.20286135e-02 6.40260389e-02 1.00000000e-04
 1.61436684e-01]"	"[7.41064584e+01 4.60176962e-02 1.09900152e-01 1.01805327e-05
 1.07977337e-03]"
78	True	18.455331802368164	685.4066605780827	0.1597212021539007	0.052030250168998995	0.0640494507986106	9.99999999999998e-05	0.16150687663053206	`xtol` termination condition is satisfied.	"[1.59721202e-01 5.20302502e-02 6.40494508e-02 1.00000000e-04
 1.61506877e-01]"	"[2.19196714e+00 1.14019147e-01 1.50223072e-02 6.65382324e-06
 3.19127622e+00]"
55	True	14.469096422195435	685.4068125289695	0.15972283708832605	0.052031569506854745	0.06405031500474476	9.99999999999998e-05	0.16150977659788082	`xtol` termination condition is satisfied.	"[1.59722837e-01 5.20315695e-02 6.40503150e-02 1.00000000e-04
 1.61509777e-01]"	"[9.00257989e-01 2.95130197e-02 3.32691988e-03 1.29791180e-06
 2.80541289e-01]"
15	True	14.098689317703247	685.4070638730333	0.15971485951447142	0.052033793851840655	0.06404739201711161	9.99999999999998e-05	0.16150028623594173	`xtol` termination condition is satisfied.	"[1.59714860e-01 5.20337939e-02 6.40473920e-02 1.00000000e-04
 1.61500286e-01]"	"[1.78267452e-01 7.52193941e-03 4.98546125e-01 2.99035799e-06
 9.60449393e-03]"
61	True	18.415369272232056	685.4071748630918	0.15970429731471852	0.05204576601351736	0.0640446597395277	9.99999999999998e-05	0.1614939242183558	`xtol` termination condition is satisfied.	"[1.59704297e-01 5.20457660e-02 6.40446597e-02 1.00000000e-04
 1.61493924e-01]"	"[1.53080309e-01 1.39360178e-03 3.41389477e+01 6.95652228e-05
 5.00025485e+00]"
13	True	16.013878107070923	685.4072106310024	0.1597011880524261	0.052047557138209945	0.06404426666454036	9.99999999999998e-05	0.16149509834657366	`ftol` termination condition is satisfied.	"[1.59701188e-01 5.20475571e-02 6.40442667e-02 1.00000000e-04
 1.61495098e-01]"	"[3.41616328e-01 3.85683861e-02 4.61835327e+00 6.09915260e-05
 1.14441634e+00]"
5	True	16.471855401992798	685.407294178195	0.1596981358375018	0.05204977207622503	0.06404348799698688	9.99999999999998e-05	0.16149297396275483	`xtol` termination condition is satisfied.	"[1.59698136e-01 5.20497721e-02 6.40434880e-02 1.00000000e-04
 1.61492974e-01]"	"[8.23629834e-03 2.27280720e-02 3.43037897e+00 1.93250217e-06
 2.43971470e-03]"
1	True	12.667092323303223	685.407347191108	0.15972433740117115	0.05202879755829774	0.06405043609725133	9.99999999999998e-05	0.16150960806439432	`xtol` termination condition is satisfied.	"[1.59724337e-01 5.20287976e-02 6.40504361e-02 1.00000000e-04
 1.61509608e-01]"	"[1.07716561e-02 8.87769958e-03 1.37785933e-02 8.84156827e-06
 3.69258683e-04]"
63	True	12.094882249832153	685.4073929340132	0.15969288877134807	0.05205290853563338	0.06404227032503079	9.999999994008922e-05	0.16148977162372513	`xtol` termination condition is satisfied.	"[1.59692889e-01 5.20529085e-02 6.40422703e-02 9.99999999e-05
 1.61489772e-01]"	"[5.77995282e-02 4.78760693e-02 6.39253425e-01 1.09561229e-06
 6.66946064e-03]"
19	True	14.47019648551941	685.4081918663405	0.1596168895157892	0.052089948022918074	0.06403168866604114	9.999999960056393e-05	0.1614415826646271	`ftol` termination condition is satisfied.	"[1.59616890e-01 5.20899480e-02 6.40316887e-02 9.99999996e-05
 1.61441583e-01]"	"[2.77701893e-03 1.90816875e-03 1.87154518e-02 5.80109587e-06
 4.16051794e+00]"
21	True	16.859124183654785	685.4094781831044	0.15965247250922915	0.0520969154204393	0.06402513355367535	9.99999999999998e-05	0.16139710130070772	`ftol` termination condition is satisfied.	"[1.59652473e-01 5.20969154e-02 6.40251336e-02 1.00000000e-04
 1.61397101e-01]"	"[2.05099063e-03 1.15458843e+00 3.19365566e+01 1.85273118e-06
 5.16430485e-03]"
22	True	11.648777484893799	685.4098717580557	0.15952300651470505	0.05214704244146659	0.06400041406699217	9.99999999999998e-05	0.16140361517439675	`xtol` termination condition is satisfied.	"[1.59523007e-01 5.21470424e-02 6.40004141e-02 1.00000000e-04
 1.61403615e-01]"	"[3.08082078e+00 2.14642221e-01 1.97362268e-01 4.73297926e-05
 2.07858745e-01]"
30	True	12.783562421798706	685.4099432132782	0.15952121436264546	0.05214911225220799	0.06400005155730344	9.99999999999998e-05	0.16140147577371772	`xtol` termination condition is satisfied.	"[1.59521214e-01 5.21491123e-02 6.40000516e-02 1.00000000e-04
 1.61401476e-01]"	"[7.97573179e-02 3.44568521e+00 6.99497964e+00 1.92988240e-05
 3.22069025e+00]"
50	True	17.50359344482422	685.4100277935896	0.15952155495842218	0.05215085174358513	0.06399985560509049	9.99999999999998e-05	0.16140118120728877	`xtol` termination condition is satisfied.	"[1.59521555e-01 5.21508517e-02 6.39998556e-02 1.00000000e-04
 1.61401181e-01]"	"[1.82982007e+01 1.59902608e-03 1.91846773e-02 1.81874773e-05
 3.17499420e+00]"
37	True	19.012807607650757	685.4100961507019	0.15951849435269458	0.05215294170082684	0.06399937602898431	9.99999999999998e-05	0.1614002348174918	`ftol` termination condition is satisfied.	"[1.59518494e-01 5.21529417e-02 6.39993760e-02 1.00000000e-04
 1.61400235e-01]"	"[1.32634921e-03 1.94711738e-03 5.22406007e+01 3.05411851e-06
 2.91703880e+00]"
