study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Lenard2024	all	12	NA	species	12	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Lenard2024	all	12	NA	healthy	12	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Lenard2024	all	12	NA	sex	3	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Lenard2024	all	12	NA	sex	9	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Lenard2024	all	12	NA	overnight fast	12	NA	NR	NA	NA	NA	NA	NA	NA	NA	NA
Lenard2024	all	12	NA	age	12	NA	NA	NA	26.0	NA	NA	20.0	54.0	yr	NA
Lenard2024	all	12	NA	bmi	12	NA	NA	22.5	NA	2.36	NA	NA	NA	kg/m^2	NA
