study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Rohr2024	all	8	NA	species	8	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Rohr2024	all	8	NA	healthy	8	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Rohr2024	all	8	NA	sex	7	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Rohr2024	all	8	NA	sex	1	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Rohr2024	all	8	NA	overnight fast	8	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Rohr2024	all	8	NA	age	8	NA	NA	34.0	NA	NA	NA	24.0	44.0	yr	NA
Rohr2024	all	8	NA	bmi	8	NA	NA	24.2	NA	NA	NA	18.0	28.1	kg/m^2	NA
