study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Lenard2025	all	36	NA	species	36	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Lenard2025	all	36	NA	healthy	36	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Lenard2025	all	36	NA	sex	14	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Lenard2025	all	36	NA	sex	22	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Lenard2025	all	36	NA	overnight fast	36	NA	NR	NA	NA	NA	NA	NA	NA	NA	NA
Lenard2025	all	36	NA	age	36	NA	NA	NA	26.0	NA	NA	21.0	63.0	yr	NA
Lenard2025	all	36	NA	bmi	36	NA	NA	23.97	NA	3.79	NA	NA	NA	kg/m^2	NA
