study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Jiang2010	NA	P	19.0	P	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_P	0.0	hr	NA	-0.264150943396217	NA	NA	NA	percent	NA
Jiang2010	NA	P	19.0	P	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_P	0.375733855185908	hr	NA	5.01886792452829	NA	NA	NA	percent	NA
Jiang2010	NA	P	19.0	P	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_P	0.845401174168297	hr	NA	3.69811320754717	NA	NA	NA	percent	NA
Jiang2010	NA	P	19.0	P	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_P	1.87866927592955	hr	NA	4.75471698113208	NA	NA	NA	percent	NA
Jiang2010	NA	P	19.0	P	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_P	2.9119373776908	hr	NA	2.11320754716981	NA	NA	NA	percent	NA
Jiang2010	NA	P	19.0	P	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_P	3.94520547945205	hr	NA	-1.32075471698113	NA	NA	NA	percent	NA
Jiang2010	NA	P	19.0	P	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_P	6.0	hr	NA	6.60377358490565	NA	NA	NA	percent	NA
Jiang2010	NA	P	19.0	P	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_P	7.89041095890411	hr	NA	5.28301886792454	NA	NA	NA	percent	NA
Jiang2010	NA	P	19.0	P	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_P	12.0	hr	NA	5.28301886792454	NA	NA	NA	percent	NA
Jiang2010	NA	P	19.0	P	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_P	14.8414872798434	hr	NA	6.33962264150942	NA	NA	NA	percent	NA
Jiang2010	NA	P	19.0	P	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_P	24.0	hr	NA	0.264150943396231	NA	NA	NA	percent	NA
Jiang2010	NA	P	19.0	P	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_P	36.0	hr	NA	2.37735849056602	NA	NA	NA	percent	NA
Jiang2010	NA	P	19.0	P	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_P	48.0	hr	NA	1.84905660377358	NA	NA	NA	percent	NA
Jiang2010	NA	T5	12.0	T5	factor Xa inhibition	NA	plasma	Spectrophotometry	factor Xa inhibition_T5	0.0	hr	NA	0.264150943396231	NA	NA	NA	percent	NA
