study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	0.242081034890439	hr	NA	0.997208345929249	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	0.499750077072041	hr	NA	1.00702807218133	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	0.734504030194282	hr	NA	1.02177322562204	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	0.992065321173411	hr	NA	1.03036219369476	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	1.27275720361685	hr	NA	1.03648725093759	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	1.52794796814156	hr	NA	1.0179995390643	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	1.76237866765638	hr	NA	1.02905241796691	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	2.0	hr	NA	1.02779532060472	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	2.30127834829379	hr	NA	1.05115099235864	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	2.53732531584571	hr	NA	1.08066524395172	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	2.81650868145452	hr	NA	1.06955968668345	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	3.00758748050751	hr	NA	1.11877085808867	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	3.49710119334457	hr	NA	1.11010526693864	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	4.0	hr	NA	1.08174515044762	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	6.0	hr	NA	1.05815242604825	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	8.0	hr	NA	1.0308674271108	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	12.0	hr	NA	1.01937875445596	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	15.0447975624283	hr	NA	1.01045934936232	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T1.25	8.0	T1.25	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T1.25	24.0	hr	NA	0.988616983385363	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	0.78787679248615	hr	NA	1.09807544380027	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	1.02521677446775	hr	NA	1.1423587935457	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	1.28073079259989	hr	NA	1.12756335621051	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	1.51634675534192	hr	NA	1.15215457508613	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	1.7736925439161	hr	NA	1.15828202680012	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	1.79714638898783	hr	NA	1.15951039050832	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	2.0	hr	NA	1.20010386018683	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	2.33669257684008	hr	NA	1.18899351397623	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	2.52432333741391	hr	NA	1.19882042364181	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	2.78037611155841	hr	NA	1.19017877720344	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	3.06311526684885	hr	NA	1.21968823985418	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	3.57478981032795	hr	NA	1.19748191425997	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	4.0	hr	NA	1.18882111205227	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	6.0	hr	NA	1.11969033501645	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	8.0	hr	NA	1.11948441049616	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	12.0	hr	NA	1.04892173970303	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	15.001553413169	hr	NA	1.0498484000443	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T5	6.0	T5	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T5	24.0	hr	NA	1.00830671978402	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T10	0.53150076473423	hr	NA	1.10302481570055	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T10	0.794772869444453	hr	NA	1.17684396727955	NA	NA	NA	dimensionless	NA
Kubitza2005a	NA	T10	8.0	T10	aPTT (change relative)	NA	plasma	NR	aPTT (change relative)_T10	1.03092758819885	hr	NA	1.20758897705199	NA	NA	NA	dimensionless	NA
